,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,2,34,40.76727216,-73.99392888,72,1,In Service,False,39
1,29,3,40.71911552,-74.00666661,79,1,In Service,False,33
2,10,0,40.71117416,-74.00016545,82,1,In Service,False,11
3,35,23,40.68382604,-73.97632328,83,1,In Service,False,62
4,2,16,40.69608941,-73.97803415,119,1,In Service,False,19
5,11,4,40.68676793,-73.95928168,120,1,In Service,False,19
6,3,25,40.73172428,-74.00674436,127,1,In Service,False,31
7,9,15,40.72710258,-74.00297088,128,1,In Service,False,30
8,8,13,40.69239502,-73.99337909,143,1,In Service,False,24
9,0,17,40.69839895,-73.98068914,144,1,In Service,False,19
10,35,4,40.71625008,-74.0091059,146,1,In Service,False,39
11,5,22,40.7208736,-73.98085795,150,1,In Service,False,29
12,2,29,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
13,0,24,40.71473993,-74.00910627,152,3,Not In Service,False,24
14,9,12,40.69089272,-73.99612349,157,1,In Service,False,23
15,7,28,40.72917025,-73.99810231,161,1,In Service,False,35
16,13,32,40.75323098,-73.97032517,164,1,In Service,False,47
17,0,45,40.7489006,-73.97604882,167,1,In Service,False,45
18,13,34,40.73971301,-73.99456405,168,1,In Service,False,47
19,0,48,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
20,3,27,40.7381765,-73.97738662,174,1,In Service,False,30
21,5,39,40.70905623,-74.01043382,195,1,In Service,False,45
22,0,26,40.74334935,-74.00681753,212,1,In Service,False,28
23,1,22,40.70037867,-73.99548059,216,1,In Service,False,23
24,15,23,40.70277159,-73.99383605,217,1,In Service,False,39
25,17,16,40.73781509,-73.99994661,223,1,In Service,False,33
26,0,55,40.7546011026,-73.971878855,228,1,In Service,False,55
27,3,20,40.72743423,-73.99379025,229,1,In Service,False,23
28,15,7,40.69597683,-73.99014892,232,1,In Service,False,23
29,5,32,40.7284186,-73.98713956,236,1,In Service,False,39
30,19,18,40.73047309,-73.98672378,237,1,In Service,False,39
31,8,22,40.7361967,-74.00859207,238,1,In Service,False,31
32,23,5,40.69196566,-73.9813018,239,1,In Service,False,31
33,4,18,40.68981035,-73.97493121,241,1,In Service,False,23
34,12,8,40.697787,-73.973736,242,1,In Service,False,23
35,17,12,40.688226,-73.979382,243,1,In Service,False,31
36,1,26,40.69196035,-73.96536851,244,1,In Service,False,31
37,6,15,40.69327018,-73.97703874,245,1,In Service,False,23
38,15,5,40.73535398,-74.00483091,247,1,In Service,False,20
39,15,6,40.72185379,-74.00771779,248,1,In Service,False,23
40,0,27,40.71870987,-74.0090009,249,1,In Service,False,27
41,20,6,40.72317958,-73.99480012,251,1,In Service,False,27
42,8,14,40.73226398,-73.99852205,252,1,In Service,False,24
43,6,48,40.73543934,-73.99453948,253,1,In Service,False,55
44,1,28,40.73532427,-73.99800419,254,1,In Service,False,31
45,32,6,40.71939226,-74.00247214,257,1,In Service,False,39
46,15,8,40.68940747,-73.96885458,258,1,In Service,False,23
47,18,17,40.70122128,-74.01234218,259,1,In Service,False,39
48,0,3,40.70365182,-74.01167797,260,3,Not In Service,False,7
49,18,6,40.69474881,-73.98362464,261,1,In Service,False,27
50,10,14,40.6917823,-73.9737299,262,1,In Service,False,24
51,19,8,40.70706456,-74.00731853,264,1,In Service,False,27
52,16,18,40.72229346,-73.99147535,265,1,In Service,False,35
53,11,12,40.72368361,-73.97574813,266,1,In Service,False,24
54,10,47,40.75097711,-73.98765428,267,1,In Service,False,57
55,15,11,40.71910537,-73.99973337,268,1,In Service,False,27
56,9,12,40.69308257,-73.97178913,270,1,In Service,False,23
57,20,10,40.68691865,-73.976682,274,1,In Service,False,31
58,4,15,40.68650065,-73.96563307,275,1,In Service,False,19
59,11,14,40.71748752,-74.0104554,276,1,In Service,False,25
60,1,18,40.69766564,-73.98476437,278,1,In Service,False,19
61,16,16,40.707873,-74.00167,279,1,In Service,False,36
62,9,20,40.73331967,-73.99510132,280,1,In Service,False,31
63,18,38,40.7643971,-73.97371465,281,1,In Service,False,57
64,16,9,40.707644944175705,-73.96841526031494,282,1,In Service,False,27
65,1,50,40.73454567,-73.99074142,285,1,In Service,False,51
66,6,13,40.6845683,-73.95881081,289,1,In Service,False,19
67,8,10,40.713126,-73.984844,291,1,In Service,False,20
68,0,55,40.73020660529954,-73.99102628231049,293,1,In Service,False,55
69,4,20,40.71406667,-73.99293911,295,1,In Service,False,24
70,32,3,40.71413089,-73.9970468,296,1,In Service,False,35
71,5,22,40.734232,-73.986923,297,1,In Service,False,27
72,12,24,40.72217444,-73.98368779,301,1,In Service,False,37
