,availableBikes,availableDocks,latitude,longitude,station_id,statusKey,statusValue,testStation,totalDocks
0,40,15,40.7643971,-73.97371465,281,1,In Service,False,57
1,13,19,40.70463334,-74.01361706,304,1,In Service,False,33
2,6,46,40.75510267,-73.97498696,359,1,In Service,False,53
3,30,15,40.72243797,-74.00566443,377,1,In Service,False,45
4,15,20,40.7403432,-73.98955109,402,1,In Service,False,39
5,16,13,40.71754834,-74.01322069,426,1,In Service,False,29
6,21,28,40.74096374,-73.98602213,491,1,In Service,False,51
7,49,3,40.76087502,-74.00277668,514,1,In Service,False,52
8,16,22,40.75992262,-73.97648516,520,1,In Service,False,39
9,3,37,40.76132983124814,-73.97982001304626,3443,1,In Service,False,41
10,3,36,40.76727216,-73.99392888,72,1,In Service,False,39
11,9,24,40.71911552,-74.00666661,79,1,In Service,False,33
12,4,23,40.71117416,-74.00016545,82,1,In Service,False,27
13,20,40,40.68382604,-73.97632328,83,1,In Service,False,62
14,12,7,40.69608941,-73.97803415,119,1,In Service,False,19
15,5,14,40.68676793,-73.95928168,120,1,In Service,False,19
16,1,29,40.73172428,-74.00674436,127,1,In Service,False,31
17,27,2,40.72710258,-74.00297088,128,1,In Service,False,30
18,22,2,40.69239502,-73.99337909,143,1,In Service,False,24
19,6,13,40.69839895,-73.98068914,144,1,In Service,False,19
20,6,33,40.71625008,-74.0091059,146,1,In Service,False,39
21,1,27,40.7208736,-73.98085795,150,1,In Service,False,29
22,19,14,40.722103786686034,-73.99724900722504,151,1,In Service,False,33
23,0,2,40.71473993,-74.00910627,152,3,Not In Service,False,2
24,0,23,40.69089272,-73.99612349,157,1,In Service,False,23
25,0,0,40.72917025,-73.99810231,161,3,Not In Service,False,0
26,12,33,40.75323098,-73.97032517,164,1,In Service,False,47
27,18,25,40.7489006,-73.97604882,167,1,In Service,False,45
28,24,20,40.73971301,-73.99456405,168,1,In Service,False,47
29,24,25,40.76068327096592,-73.9845272898674,173,1,In Service,False,51
30,0,30,40.7381765,-73.97738662,174,1,In Service,False,30
31,10,35,40.70905623,-74.01043382,195,1,In Service,False,45
32,14,13,40.74334935,-74.00681753,212,1,In Service,False,28
33,0,21,40.70037867,-73.99548059,216,1,In Service,False,23
34,17,22,40.70277159,-73.99383605,217,1,In Service,False,39
35,0,33,40.73781509,-73.99994661,223,1,In Service,False,33
36,23,31,40.7546011026,-73.971878855,228,1,In Service,False,55
37,18,5,40.72743423,-73.99379025,229,1,In Service,False,23
38,5,17,40.69597683,-73.99014892,232,1,In Service,False,23
39,0,39,40.7284186,-73.98713956,236,1,In Service,False,39
40,0,38,40.73047309,-73.98672378,237,1,In Service,False,39
41,0,31,40.7361967,-74.00859207,238,1,In Service,False,31
42,23,8,40.69196566,-73.9813018,239,1,In Service,False,31
43,2,21,40.68981035,-73.97493121,241,1,In Service,False,23
44,17,6,40.697787,-73.973736,242,1,In Service,False,23
45,19,10,40.688226,-73.979382,243,1,In Service,False,31
46,14,17,40.69196035,-73.96536851,244,1,In Service,False,31
47,1,22,40.69327018,-73.97703874,245,1,In Service,False,23
48,0,20,40.73535398,-74.00483091,247,1,In Service,False,20
49,5,18,40.72185379,-74.00771779,248,1,In Service,False,23
50,5,20,40.71870987,-74.0090009,249,1,In Service,False,27
